Facility|MS-DRG |Expected  Payment
LMC|59|7,423.61
LMC|60|6,058.88
LMC|61|18,554.51
LMC|62|13,441.35
LMC|63|11,281.85
LMC|64|12,549.85
LMC|65|7,013.14
LMC|66|4,982.40
LMC|67|9,868.09
LMC|68|6,200.71
LMC|69|5,396.12
LMC|70|11,230.22
LMC|71|6,797.45
LMC|72|5,122.92
LMC|73|9,548.49
LMC|74|6,754.31
LMC|75|10,807.33
LMC|76|6,194.83
LMC|77|10,377.92
LMC|78|6,583.72
LMC|79|5,139.92
LMC|80|12,821.08
LMC|81|6,041.89
LMC|82|15,013.93
LMC|83|8,862.86
LMC|84|6,160.83
LMC|85|14,974.72
LMC|86|8,386.37
LMC|87|5,781.11
LMC|88|9,375.27
LMC|89|6,742.55
LMC|90|5,840.58
LMC|91|10,525.62
LMC|92|6,610.54
LMC|93|5,271.29
LMC|94|23,726.49
LMC|95|16,028.99
LMC|96|15,081.27
LMC|97|23,668.33
LMC|98|13,074.04
LMC|99|8,677.88
LMC|100|12,192.96
LMC|101|6,066.74
LMC|102|8,090.94
LMC|103|5,521.62
LMC|113|14,231.56
LMC|114|8,079.17
LMC|115|10,008.62
LMC|116|12,655.72
LMC|117|7,464.14
LMC|121|8,582.46
LMC|122|5,345.80
LMC|123|5,399.39
LMC|124|9,377.23
LMC|125|5,455.61
LMC|129|15,259.04
LMC|130|9,744.56
LMC|131|17,873.46
LMC|132|10,685.11
LMC|133|14,328.31
LMC|134|8,198.79
LMC|135|15,228.31
LMC|136|8,073.95
LMC|137|9,010.57
LMC|138|5,926.20
LMC|139|8,363.50
LMC|146|12,901.48
LMC|147|8,406.62
LMC|148|5,266.07
LMC|149|5,070.64
LMC|150|8,737.37
LMC|151|4,865.40
LMC|152|7,087.00
LMC|153|4,913.11
LMC|154|9,688.36
LMC|155|6,185.69
LMC|156|4,573.89
LMC|157|10,511.26
LMC|158|5,960.18
LMC|159|4,694.16
LMC|163|32,150.83
LMC|164|16,842.73
LMC|165|12,382.51
LMC|166|24,680.10
LMC|167|12,808.67
LMC|168|8,967.43
LMC|175|9,736.72
LMC|176|5,841.23
LMC|177|12,657.02
LMC|178|8,422.33
LMC|179|5,956.93
LMC|180|11,570.08
LMC|181|7,825.58
LMC|182|5,804.63
LMC|183|10,160.26
LMC|184|6,951.04
LMC|185|5,093.51
LMC|186|10,380.53
LMC|187|7,014.46
LMC|188|5,073.24
LMC|189|8,241.92
LMC|190|7,773.30
LMC|191|6,131.43
LMC|192|4,931.42
LMC|193|9,011.87
LMC|194|6,103.98
LMC|195|4,754.28
LMC|196|11,246.56
LMC|197|6,972.62
LMC|198|5,230.76
LMC|199|12,022.39
LMC|200|7,368.70
LMC|201|4,988.93
LMC|202|6,492.23
LMC|203|4,830.77
LMC|204|5,606.59
LMC|205|10,977.27
LMC|206|5,998.75
LMC|207|37,784.25
LMC|208|16,532.26
LMC|215|84,520.33
LMC|216|65,933.74
LMC|217|43,771.27
LMC|218|35,599.89
LMC|219|51,539.37
LMC|220|34,975.69
LMC|221|30,337.06
LMC|222|54,836.83
LMC|223|39,531.33
LMC|224|48,638.03
LMC|225|37,216.91
LMC|226|44,007.24
LMC|227|34,474.40
LMC|228|41,383.66
LMC|229|27,125.89
LMC|231|53,966.87
LMC|232|39,424.14
LMC|233|51,074.02
LMC|234|34,324.72
LMC|235|38,758.12
LMC|236|26,630.47
LMC|239|30,817.47
LMC|240|18,335.55
LMC|241|10,206.68
LMC|242|24,552.00
LMC|243|16,828.33
LMC|244|13,860.98
LMC|245|34,334.51
LMC|246|21,033.64
LMC|247|13,594.95
LMC|248|20,534.95
LMC|249|12,823.04
LMC|250|16,963.64
LMC|251|11,296.23
LMC|252|21,736.92
LMC|253|17,332.92
LMC|254|12,192.33
LMC|255|17,613.97
LMC|256|11,515.19
LMC|257|7,710.54
LMC|258|20,287.88
LMC|259|13,908.04
LMC|260|24,476.84
LMC|261|13,031.54
LMC|262|11,260.93
LMC|263|15,715.26
LMC|264|21,459.78
LMC|265|20,697.04
LMC|266|46,841.93
LMC|267|37,392.08
LMC|268|44,627.51
LMC|269|28,181.48
LMC|270|33,696.61
LMC|271|23,485.97
LMC|272|17,298.28
LMC|273|24,546.76
LMC|274|20,948.67
LMC|280|10,955.69
LMC|281|6,627.53
LMC|282|5,118.98
LMC|283|12,059.00
LMC|284|5,036.64
LMC|285|3,680.40
LMC|286|14,658.37
LMC|287|7,826.89
LMC|288|17,664.95
LMC|289|11,170.74
LMC|290|6,836.02
LMC|291|9,092.26
LMC|292|6,214.45
LMC|293|4,579.12
LMC|294|8,609.24
LMC|295|4,067.34
LMC|296|10,560.26
LMC|297|5,021.60
LMC|298|3,585.00
LMC|299|9,771.37
LMC|300|7,012.49
LMC|301|5,039.90
LMC|302|7,500.73
LMC|303|4,712.46
LMC|304|7,430.15
LMC|305|5,077.17
LMC|306|9,541.29
LMC|307|6,062.15
LMC|308|8,058.91
LMC|309|5,239.26
LMC|310|3,951.67
LMC|311|4,773.25
LMC|312|5,633.37
LMC|313|4,971.27
LMC|314|13,560.98
LMC|315|6,638.63
LMC|316|5,147.12
LMC|319|27,098.45
LMC|320|15,640.74
LMC|326|34,744.33
LMC|327|17,112.66
LMC|328|10,590.33
LMC|329|32,369.80
LMC|330|16,811.35
LMC|331|11,336.75
LMC|332|23,119.30
LMC|333|15,088.46
LMC|334|10,363.53
LMC|335|26,735.05
LMC|336|15,108.05
LMC|337|11,013.21
LMC|338|19,316.63
LMC|339|11,512.56
LMC|340|8,384.40
LMC|341|17,015.94
LMC|342|10,821.06
LMC|343|7,822.97
LMC|344|19,872.18
LMC|345|10,971.38
LMC|346|8,679.84
LMC|347|17,527.70
LMC|348|9,507.31
LMC|349|6,707.26
LMC|350|16,239.44
LMC|351|9,827.56
LMC|352|7,334.06
LMC|353|19,687.87
LMC|354|11,551.78
LMC|355|9,266.13
LMC|356|26,944.84
LMC|357|15,004.78
LMC|358|9,261.55
LMC|368|12,738.08
LMC|369|7,244.53
LMC|370|5,180.44
LMC|371|11,574.00
LMC|372|6,979.16
LMC|373|5,144.49
LMC|374|13,351.81
LMC|375|8,187.02
LMC|376|6,840.60
LMC|377|11,864.21
LMC|378|6,754.31
LMC|379|4,516.38
LMC|380|12,633.50
LMC|381|7,333.41
LMC|382|5,468.68
LMC|383|8,964.81
LMC|384|5,983.72
LMC|385|10,821.06
LMC|386|6,735.36
LMC|387|4,875.85
LMC|388|10,264.19
LMC|389|5,784.37
LMC|390|4,084.34
LMC|391|8,368.08
LMC|392|5,273.24
LMC|393|10,913.87
LMC|394|6,427.51
LMC|395|4,573.23
LMC|405|35,768.54
LMC|406|18,537.52
LMC|407|13,932.22
LMC|408|23,587.93
LMC|409|15,942.05
LMC|410|11,145.88
LMC|411|25,331.76
LMC|412|15,832.25
LMC|413|10,866.80
LMC|414|22,625.82
LMC|415|13,706.06
LMC|416|9,121.68
LMC|417|16,052.52
LMC|418|11,204.06
LMC|419|8,837.36
LMC|420|22,746.09
LMC|421|12,330.23
LMC|422|9,475.93
LMC|423|27,997.16
LMC|424|15,011.30
LMC|425|9,848.49
LMC|432|12,213.88
LMC|433|7,041.27
LMC|434|4,478.46
LMC|435|11,388.39
LMC|436|7,653.67
LMC|437|6,034.05
LMC|438|11,004.07
LMC|439|5,833.39
LMC|440|4,319.63
LMC|441|12,391.03
LMC|442|6,396.81
LMC|443|4,742.51
LMC|444|10,924.33
LMC|445|7,319.03
LMC|446|5,607.89
LMC|453|61,780.73
LMC|454|40,329.39
LMC|455|31,756.04
LMC|456|59,651.28
LMC|457|42,867.34
LMC|458|30,975.64
LMC|459|45,081.11
LMC|460|26,181.44
LMC|461|35,452.20
LMC|462|20,795.72
LMC|463|34,465.25
LMC|464|19,595.06
LMC|465|12,813.91
LMC|466|33,624.05
LMC|467|23,251.33
LMC|468|18,676.08
LMC|469|20,818.61
LMC|470|13,161.61
LMC|471|32,939.72
LMC|472|20,175.46
LMC|473|16,717.24
LMC|474|25,622.61
LMC|475|14,028.29
LMC|476|7,908.59
LMC|477|21,572.87
LMC|478|15,440.74
LMC|479|11,944.61
LMC|480|20,025.12
LMC|481|13,942.01
LMC|482|11,049.82
LMC|483|15,930.94
LMC|485|21,727.77
LMC|486|14,352.47
LMC|487|10,800.80
LMC|488|13,166.85
LMC|489|8,524.93
LMC|492|22,814.72
LMC|493|15,342.04
LMC|494|12,135.46
LMC|495|22,731.70
LMC|496|13,632.87
